Currency_Code,Exchange_Rate,Date
AUD,1.0467,2022-10-10
EUR,0.8946,2022-01-21
EUR,0.1472,2022-04-07
JPY,0.6749,2022-08-25
AUD,0.5259,2022-04-18
EUR,0.4603,2022-12-24
GBP,0.5843,2022-11-19
AUD,0.0,2022-01-15
JPY,0.9274,2022-06-21
AUD,0.4756,2022-02-21
EUR,0.4204,2022-09-18
EUR,1.1994,2022-07-04
EUR,0.0,2022-11-25
AUD,0.7213,2022-08-28
EUR,0.0,2022-07-28
AUD,0.0,2022-03-25
JPY,0.5115,2022-11-01
GBP,0.9226,2022-10-03
GBP,0.943,2022-01-31
GBP,0.0,2022-02-10
AUD,0.164,2022-02-11
GBP,0.2348,2022-05-16
JPY,1.1318,2022-07-16
AUD,1.3106,2022-02-17
GBP,0.7788,2022-01-12
JPY,0.1838,2022-03-08
JPY,1.2544,2022-08-17
AUD,1.3418,2022-08-26
AUD,0.063,
AUD,0.0,2022-07-23
JPY,1.4804,2022-09-11
EUR,1.2151,2022-11-27
USD,0.0,2022-12-19
GBP,0.0,2022-10-22
AUD,0.0737,2022-12-20
JPY,0.0,2022-01-12
USD,0.6269,2022-05-09
JPY,0.1303,2022-10-03
JPY,0.375,2022-02-09
JPY,0.3171,2022-10-18
USD,0.0677,2022-04-17
AUD,1.245,2022-02-04
JPY,0.1287,2022-12-02
JPY,1.4513,2022-04-10
JPY,0.1802,2022-05-26
JPY,0.2007,2022-09-04
USD,0.0,2022-11-09
JPY,0.0,2022-11-03
USD,0.2931,2022-10-23
GBP,0.5873,2022-03-12
USD,1.009,2022-01-11
GBP,0.2049,2022-04-17
AUD,1.4249,2022-06-25
USD,0.2662,2022-10-25
EUR,0.7436,2022-05-20
GBP,0.5813,2022-11-06
JPY,1.4031,2022-11-21
EUR,0.5455,2022-04-22
JPY,0.7213,2022-06-03
AUD,1.049,2022-12-29
JPY,0.5617,2022-12-28
EUR,0.5066,2022-08-30
GBP,0.4175,2022-03-17
GBP,0.2654,2022-12-27
EUR,0.0,2022-03-01
EUR,0.906,2022-05-28
AUD,0.2139,2022-02-07
EUR,0.0,2022-08-19
JPY,0.0,2022-05-20
AUD,0.2437,2022-01-07
USD,0.0,2022-07-10
JPY,0.5717,2022-03-02
AUD,0.0,2022-10-26
GBP,0.7362,2022-04-06
AUD,0.9145,2022-05-08
USD,0.1953,2022-04-05
GBP,0.0,2022-10-26
GBP,0.282,2022-12-26
EUR,0.0,2022-02-19
JPY,0.2958,2022-12-13
AUD,0.4899,2022-12-02
JPY,0.0,2022-11-28
AUD,0.0864,2022-08-08
JPY,1.4214,2022-11-19
AUD,0.0,2022-10-22
JPY,0.0,2022-09-04
EUR,0.0,2022-04-08
USD,0.7127,2022-06-10
EUR,0.0,2022-09-28
AUD,0.8407,2022-07-09
AUD,1.1661,2022-01-03
USD,0.0,2022-03-13
EUR,0.9597,2022-03-26
USD,1.0817,2022-01-09
EUR,1.3037,2022-07-26
AUD,0.6352,2022-08-26
AUD,0.9202,2022-02-21
AUD,0.0,2022-03-02
USD,0.0,2022-05-22
JPY,0.6523,2022-06-07
AUD,0.0,2022-11-24
USD,1.4349,2022-09-26
USD,1.1738,2022-03-18
EUR,0.0,2022-07-28
GBP,0.7341,2022-04-09
EUR,0.0,2022-10-27
USD,0.7677,2022-02-01
USD,0.0,2022-04-27
EUR,0.0,2022-03-23
USD,1.2703,2022-05-30
USD,0.0,2022-05-31
USD,0.8055,2022-08-17
GBP,0.2513,2022-08-14
AUD,1.4746,2022-10-08
EUR,0.0,2022-06-07
JPY,0.0528,2022-06-18
USD,0.0,2022-04-18
JPY,1.1543,2022-02-26
GBP,1.2053,2022-06-18
JPY,0.9077,2022-08-28
AUD,0.0,2022-12-17
AUD,0.0,2022-10-27
USD,0.6685,2022-11-15
JPY,1.4734,2022-02-23
AUD,0.0,2022-03-01
GBP,1.2006,2022-10-11
EUR,0.0,2022-06-20
GBP,0.8332,2022-11-26
EUR,0.0,2022-04-15
JPY,0.0,2022-01-02
EUR,0.7372,2022-05-31
JPY,1.0936,2022-10-20
JPY,0.0,2022-06-08
EUR,0.1919,2022-09-14
AUD,0.4386,2022-03-11
EUR,0.0,2022-03-31
USD,1.3288,
AUD,0.0,2022-04-20
JPY,0.2058,2022-08-23
AUD,0.0,2022-10-29
JPY,0.1475,2022-01-03
JPY,0.0,2022-01-02
USD,0.0,2022-12-25
EUR,0.0,2022-11-10
EUR,0.0,2022-07-13
AUD,0.0,2022-09-25
GBP,0.6287,2022-05-11
EUR,0.9485,2022-10-17
EUR,1.2104,2022-04-27
GBP,0.0,2022-07-16
AUD,0.0954,2022-07-04
AUD,0.0,2022-03-22
USD,1.1944,2022-01-31
EUR,0.9162,2022-08-28
USD,0.0,2023-01-01
USD,0.0,2022-03-28
JPY,0.4287,2022-03-19
EUR,0.1193,2022-05-11
JPY,0.2302,2022-07-13
JPY,0.0,2022-10-16
JPY,1.2254,2022-11-27
AUD,1.3273,2022-09-22
GBP,0.0,2022-08-10
JPY,1.0445,2022-08-04
AUD,0.0,2022-06-18
AUD,0.2898,2022-03-31
GBP,0.3994,2022-11-21
EUR,1.4516,2022-05-02
USD,0.331,2022-08-31
GBP,0.1911,2022-05-16
USD,0.0,2022-10-05
JPY,0.509,2022-12-26
AUD,0.5125,2022-03-19
AUD,0.9057,2022-05-23
USD,1.4656,2022-03-27
USD,1.0483,2022-08-21
JPY,1.3326,2022-11-26
GBP,0.3082,2022-03-06
AUD,1.279,2022-11-09
GBP,0.3426,2022-09-29
